GeneID	Symbol	LogFoldChange	P-Value
23646	PLD3	-0,5817	0,00000046
23647	ARFIP2	-0,0381	0,19
23648	SSBP3	-0,2427	0,000000021
23649	POLA2	0,0558	0,012
23650	TRIM29	0,013	0,37
23654	PLXNB2	0,3197	0,00000000024
23657	SLC7A11	0,3695	0,0000017
23658	LSM5	0,0016	0,91
23659	LYPLA3	0,0305	0,45
23660	ZKSCAN5	0,0048	0,13
23668	UBBP2	-0,0034	0,93
23670	TMEM2	0,0404	0,32
23671	TMEFF2	-0,0776	0,000083
23673	STX12	-0,0128	0,79
23676	SMPX	-0,0167	0,6
23677	SH3BP4	0,3342	0,0000000012
23678	SGK3	-0,0053	0,72
23682	RAB38	0,0947	0,0051
23683	PRKD3	0,1711	0,000005
23704	KCNE4	0,2084	0,00027
23705	CADM1	0,2021	0,00000074
23708	GSPT2	-0,2754	0,00014
23710	GABARAPL1	-0,5564	0,00000000025
23729	CARKL	0,1037	0,00017
23731	C9orf5	-0,0633	0,0076
23732	C9orf4	-0,0166	0,61
23741	EID1	-0,2202	0,00036
23742	C15orf2	-0,0007	0,99
23743	BHMT2	0,1557	0,00065
23746	AIPL1	-0,015	0,15
23753	SDF2L1	0,1678	0,0041
23759	PPIL2	-0,168	0,000000000028
23760	PITPNB	-0,1153	0,00093
23761	PISD	-0,1223	0,00000077
23762	OSBP2	-0,0455	0,00017
23764	MAFF	0,5933	0,0014
23765	IL17RA	-0,122	0,000026
23766	GABARAPL3	-0,3429	0,000000018
23767	FLRT3	0,0684	0,088
23768	FLRT2	0,1328	0,038
23769	FLRT1	-0,1513	0,0032
23770	FKBP8	-0,1462	0,0000018
23774	BRD1	0,1345	0,000045
23779	ARHGAP8	0,0188	0,39
23780	APOL2	0,1132	0,0061
23786	BCL2L13	0,0389	0,0035
23787	MTCH1	-0,1763	0,0018
23788	MTCH2	-0,1852	0,0024
24137	KIF4A	0,0567	0,31
24138	IFIT5	0,0893	0,086
24139	EML2	0,0574	0,0029
24140	FTSJ1	-0,1887	0,000017
24141	C20orf103	-1,3517	0,000000007
24142	NAT6	-0,1716	0,0008
24144	TFIP11	-0,2443	0,00000000019
24145	PANX1	-0,071	0,19
24146	CLDN15	0,0472	0,21
24147	FJX1	0,0509	0,33
24148	PRPF6	0,0345	0,011
24149	ZNF318	0,0353	0,012
25758	C11orf41	-0,4705	0,00000000015
25759	SHC2	0,1354	0,011
25763	CXorf27	-0,0147	0,74
25764	HYPK	0,0934	0,00029
25769	SLC24A2	-0,0695	0,14
25770	C22orf31	-0,0047	0,32
25771	TBC1D22A	0,0351	0,22
25775	C22orf24	0,0061	0,85
25776	CBY1	0,2929	0,000000029
25778	RIPK5	-0,0846	0,00025
25779	ZD77D08	0,0812	0,0035
25780	RASGRP3	-0,0218	0,5
25782	RAB3GAP2	-0,0074	0,0028
25784	DGCR12	-0,0214	0,34
25786	DGCR11	-0,0121	0,75
25787	DGCR9	-0,2596	0,00000075
25788	RAD54B	-0,1241	0,0014
25789	TMEM59L	-0,4933	0,00000000025
25790	CCDC19	0,2863	0,0012
25791	NGEF	-1,1462	0,00000000018
25792	CIZ1	0,033	0,052
25793	FBXO7	-0,0234	0,00000011
25794	FSCN2	0,0259	0,3
25796	PGLS	0,1978	0,00000029
25797	QPCT	-0,0731	0,019
25798	BRI3	0,0082	0,45
25799	ZNF324	0,1053	0,0038
25800	SLC39A6	-0,1186	0,31
25801	GCA	0,1998	0,047
25802	LMOD1	0,2429	0,0000073
25803	SPDEF	0,0029	0,41
25804	LSM4	-0,1277	0,0000043
25805	BAMBI	0,2733	0,0028
25806	VAX2	0,0012	0,97
25807	RHBDD3	0,1096	0,000016
25809	TTLL1	-0,0671	0,039
25813	SAMM50	-0,0591	0,0028
25814	ATXN10	-0,2171	0,000025
25816	TNFAIP8	0,1885	0,0000089
25817	FAM19A5	0,072	0,13
25819	CCRN4L	-0,0331	0,57
25820	ARIH1	0,0426	0,01
25821	MTO1	-0,0195	0,015
25822	DNAJB5	-0,0922	0,0021
25823	TPSG1	-0,0056	0,86
25824	PRDX5	0,0497	0,44
25825	BACE2	0,1059	0,018
25827	FBXL2	-0,2851	0,00000001
25828	TXN2	0,0143	0,11
25829	TMEM184B	0,6032	0,0014
25830	SULT4A1	-0,2691	0,000000041
25831	HECTD1	0,0204	0,0028
25832	NBPF14	0,1445	0,0034
25833	POU2F3	-0,0113	0,41
25834	MGAT4C	0,1419	0,0027
25836	NIPBL	0,2069	0,0000000016
25837	RAB26	-0,4774	0,0000000035
25839	COG4	0,2191	0,0000023
25840	METTL7A	0,3968	0,00000004
25841	ABTB2	0,0536	0,076
25842	ASF1A	-0,1102	0,00087
25843	MOBKL3	-0,0636	0,0022
25844	YIPF3	-0,0763	0,086
25847	ANAPC13	-0,0325	0,14
25849	DKFZP564O0823	-0,3106	0,00008
25850	ZNF345	0,0306	0,0092
25851	DKFZP434B0335	-0,1673	0,0004
25852	ARMC8	-0,0516	0,00029
25853	WDR40A	0,3861	0,000000012
25854	FAM149A	-0,4057	0,00000000032
25855	BRMS1	0,1411	0,00014
25859	PART1	-0,0155	0,7
25861	DFNB31	0,1545	0,0053
25862	USP49	0,025	0,51
25864	ABHD14A	-0,2272	0,0000033
25865	PRKD2	0,2204	0,00000014
25870	SUMF2	0,0434	0,14
25871	C3orf17	-0,0777	0,13
25873	RPL36	0,0603	0,11
25874	BRP44	-0,4566	0,0000000033
25875	LETMD1	-0,3027	0,00000066
25878	MXRA5	-0,0021	0,96
25879	WDSOF1	-0,0292	0,027
25880	TMEM186	0,0151	0,66
25884	CHRDL2	0,0057	0,87
25885	POLR1A	0,0146	0,57
25886	WDR51A	-0,0086	0,48
25888	ZNF473	0,0508	0,26
25890	ABI3BP	0,4359	0,0000022
25891	DKFZP586H2123	0,3638	0,0000028
25894	PLEKHG4	0,0765	0,021
25895	FAM119B	0,0385	0,38
25896	INTS7	-0,1236	0,0065
25897	RNF19A	0,6063	0,000000012
25898	RCHY1	-0,0947	0,00014
25900	HOM-TES-103	0,0561	0,085
25901	CCDC28A	0,0334	0,55
25902	MTHFD1L	0,0859	0,000022
25903	OLFML2B	0,0272	0,58
25904	CNOT10	-0,0192	0,55
25906	C11orf51	-0,1719	0,00011
25907	TMEM158	-1,0657	0,00000000057
25909	AHCTF1	0,0051	0,044
25911	RP11-529I10,4	-0,1696	0,000017
25912	C1orf43	-0,1922	0,00058
25913	POT1	0,0122	0,54
25914	RTTN	-0,1935	0,00038
25915	C3orf60	0,0058	0,92
25917	THUMPD3	-0,0227	0,22
25920	RP13-122B23,3	0,1067	0,018
25921	ZDHHC5	-0,0445	0,06
25923	DKFZP564J0863	0,1064	0,0052
25924	MYRIP	0,2077	0,00000014
25925	ZNF521	0,3468	0,00000057
25927	C2orf32	-0,0518	0,4
25928	SOSTDC1	0,0102	0,74
25929	GEMIN5	-0,0438	0,22
25930	PTPN23	-0,0033	0,14
25932	CLIC4	0,133	0,000035
25934	NIPSNAP3A	0,2761	0,0072
25936	NSL1	0,0937	0,0000066
25937	WWTR1	0,3587	0,00000058
25938	HEATR5A	0,3295	0,00005
25939	SAMHD1	0,0166	0,0065
25940	FAM98A	0,0931	0,0088
25941	C18orf10	-0,2108	0,0000017
25942	SIN3A	0,037	0,028
25943	C20orf194	0,1196	0,00000017
25945	PVRL3	0,0021	0,95
25946	ZNF385	0,1463	0,0026
25948	KBTBD2	-0,0324	0,000035
25949	SYF2	0,1664	0,00024
25950	RWDD3	-0,0184	0,3
25953	PNKD	-0,2769	0,000000000011
25956	SEC31B	-0,0044	0,92
25957	SFRS18	0,2175	0,00000065
25959	ANKRD25	0,2847	0,0000000004
25960	GPR124	0,0671	0,00076
25961	NUDT13	0,0444	0,11
25962	KIAA1429	0,0848	0,000000065
25963	TMEM87A	0,1561	0,000076
25966	C2CD2	0,0018	0,91
25970	SH2B1	0,0314	0,01
25972	UNC50	0,012	0,86
25973	PARS2	0,0093	0,77
25974	MMACHC	-0,0461	0,19
25975	EGFL6	-0,0809	0,019
25976	TIPARP	0,3191	0,0019
25977	NECAP1	-0,6771	0,000000024
25978	CHMP2B	-0,0652	0,16
25979	DHRS7B	0,0554	0,28
25980	C20orf4	-0,2802	0,0000000013
25981	DNAH1	0,0182	0,031
25983	NGDN	0,0377	0,018
25984	KRT23	-0,0599	0,31
25987	TSKU	0,0548	0,15
25988	MIZF	-0,0149	0,71
25989	ULK3	-0,1888	0,000053
25992	SNED1	0,2535	0,000014
25994	HIGD1A	-0,2988	0,00000000033
25996	REXO2	0,0387	0,014
25998	IBTK	-0,0053	0,36
25999	CLIP3	-0,3623	0,00000038
26000	TBC1D10B	0,041	0,2
26001	RNF167	-0,0537	0,21
26002	MOXD1	0,2716	0,0047
26003	GORASP2	-0,1111	0,044
26005	C2CD3	0,0443	0,000044
26007	DAK	0,0217	0,1
26009	ZZZ3	0,2318	0,000016
26010	LOC26010	0,1895	0,00000076
26011	ODZ4	0,0994	0,049
26012	NELF	0,0536	0,34
26013	L3MBTL	0,0414	0,00017
26015	RPAP1	-0,0215	0,57
26017	FAM32A	-0,0414	0,22
26018	LRIG1	0,1785	0,000013
26019	UPF2	-0,0071	0,89
26020	LRP10	0,3815	0,0000000087
26022	TMEM98	0,1362	0,2
26024	PTCD1	0,0805	0,0005
26027	ACOT11	0,1609	0,0000053
26030	PLEKHG3	0,0835	0,0027
26031	OSBPL3	0,1756	0,00016
26032	SUSD5	0,076	0,028
26033	ATRNL1	-0,5881	0,00000000022
26034	PIP3-E	-0,5156	0,0000015
26035	GLCE	-0,2367	0,000057
26036	ZNF451	0,1095	0,0006
26037	SIPA1L1	-0,3238	0,0000000052
26038	CHD5	-0,0917	0,013
26039	SS18L1	-0,0829	0,0046
26040	SETBP1	-0,0646	0,0027
26043	UBXD7	0,3474	0,000000096
26045	LRRTM2	-0,671	0,0000000041
26046	ZNF294	0,0898	0,00024
26047	CNTNAP2	-0,1433	0,0048
26048	ZNF500	0,074	0,016
26049	KIAA0888	0,0558	0,5
26050	SLITRK5	-0,5723	0,0000000058
26051	PPP1R16B	-0,4225	0,0000000000026
26052	DNM3	-0,1538	0,00041
26053	AUTS2	-0,0043	0,94
26054	SENP6	0,1078	0,015
26056	RAB11FIP5	-0,2207	0,0000045
26057	ANKRD17	-0,0999	0,04
26058	TNRC15	0,0867	0,000033
26059	ERC2	-0,275	0,01
26060	APPL1	0,0075	0,052
26061	HACL1	0,0251	0,66
26063	DECR2	-0,0215	0,45
26064	RAI14	0,2788	0,0000063
26065	LSM14A	0,2967	0,0000084
26069	DKFZP586B0319	0,17	0,0027
26070	DKFZP434K028	-0,0166	0,6
26073	POLDIP2	-0,0051	0,11
26074	C20orf26	0,0071	0,64
26077	DKFZP434H168	-0,0161	0,68
26080	DKFZP434B061	0,0268	0,1
26082	DKFZP434L187	-0,0546	0,022
26083	DKFZP434O047	0,0026	0,95
26084	SGEF	0,3114	0,0000000025
26085	KLK13	0,0166	0,083
26086	GPSM1	0,163	0,00036
26088	GGA1	0,1253	0,00033
26090	ABHD12	-0,0692	0,00012
26091	HERC4	0,0142	0,011
26092	TOR1AIP1	0,145	0,000021
26093	CCDC9	0,0317	0,4
26094	WDR21A	0,0108	0,24
26095	PTPN20B	-0,1383	0,000029
26097	C1orf77	0,0523	0,16
26098	C10orf137	-0,0229	0,15
26099	C1orf144	0,0901	0,0074
26100	WIPI2	0,0208	0,01
26101	DKFZP564M1462	0,0186	0,54
26102	DKFZP434A062	0,0031	0,68
26103	LRIT1	-0,008	0,84
26105	DKFZP434C153	-0,0616	0,088
26106	DKFZP586K1520	-0,0204	0,26
26108	PYGO1	0,0179	0,51
26112	CCDC69	0,0893	0,0006
26115	TANC2	-0,382	0,000000000031
26118	WSB1	0,2325	0,00000038
26119	LDLRAP1	0,1683	0,0012
26120	DKFZP564C152	0,1245	0,069
26121	PRPF31	0,086	0,00028
26122	EPC2	0,2473	0,000032
26123	TCTN3	-0,0338	0,33
26127	FGFR1OP2	0,0742	0,00008
26128	KIAA1279	-0,3797	0,000088
26130	GAPVD1	0,0542	0,00043
26133	TRPC4AP	0,0733	0,023
26135	SERBP1	0,1112	0,0000043
26136	TES	0,0337	0,0058
26137	ZBTB20	0,4307	0,00000000000059
26138	C8orf71	0,0309	0,1
26140	TTLL3	0,0877	0,00000027
26145	IRF2BP1	-0,0644	0,011
26146	TRAF3IP1	0,0413	0,14
26147	PHF19	0,1038	0,000000002
26148	C10orf12	0,0257	0,013
26149	ZNF658	-0,0818	0,086
26150	RIBC2	0,1246	0,012
26151	NAT9	-0,0059	0,88
26152	ZNF337	0,0983	0,00028
26153	KIF26A	0,1201	0,000092
26154	ABCA12	-0,0046	0,82
26155	NOC2L	-0,1196	0,0087
26156	RSL1D1	-0,0942	0,0077
26157	GIMAP2	0,1092	0,18
26160	IFT172	0,0923	0,019
26164	GTPBP5	-0,017	0,029
26166	RGS22	0,2938	0,0013
26167	PCDHB5	0,0113	0,85
26168	SENP3	-0,0807	0,011
26172	C3orf41	0,071	0,094
26173	INTS1	0,0697	0,00042
26175	C14orf109	-0,0753	0,26
26184	OR1F2	0,0007	0,98
26189	OR1A2	-0,0846	0,11
26190	FBXW2	-0,0684	0,042
26191	PTPN22	-0,0256	0,025
26205	GMEB2	-0,157	0,000000069
26207	PITPNC1	0,0456	0,00002
26211	OR2F1	-0,0063	0,16
26212	OR2B6	0,039	0,014
26220	DGCR5	-0,2956	0,00000074
26224	FBXL3	0,3479	0,0000018
26225	ARL5A	-0,1232	0,000098
26226	SHFM3P1	-0,3296	0,00000000017
26227	PHGDH	0,4742	0,000000027
26228	STAP1	0,0289	0,47
26229	B3GAT3	-0,0446	0,1
26230	TIAM2	-0,1312	0,00000012
26231	LRRC29	0,0453	0,12
26232	FBXO2	0,0462	0,18
26233	FBXL6	-0,0236	0,4
26234	FBXL5	0,1451	0,0016
26235	FBXL4	0,0858	0,0011
26236	C6orf54	0,0166	0,48
26239	LCE2B	0,0038	0,9
26240	FAM50B	-0,1642	0,0019
26249	KLHL3	-0,0772	0,13
26251	KCNG2	-0,0154	0,83
26253	CLEC4E	0,0517	0,046
26254	OPTC	-0,0211	0,45
26256	CABYR	-0,013	0,56
26257	NKX2-8	-0,0053	0,89
26258	PLDN	-0,371	0,0000014
26260	FBXO25	-0,0899	0,033
26261	FBXO24	-0,0101	0,65
26262	TSPAN17	0,0746	0,027
26263	FBXO22	-0,0404	0,0055
26266	SLC13A4	0,093	0,029
26267	FBXO10	-0,1969	0,00000023
26268	FBXO9	-0,16	0,000031
26269	FBXO8	0,3438	0,00000025
26270	FBXO6	-0,1303	0,02
26271	FBXO5	-0,043	0,0062
26272	FBXO4	0,0027	0,54
26273	FBXO3	-0,1638	0,00000059
26275	HIBCH	0,2825	0,00000011
26276	VPS33B	-0,0498	0,026
26277	TINF2	0,0869	0,0012
26278	SACS	-0,6898	0,000000012
26279	PLA2G2D	0,0263	0,12
26280	IL1RAPL2	-0,012	0,82
26281	FGF20	0,0211	0,46
26284	ERAL1	-0,0641	0,034
26285	CLDN17	-0,0004	0,99
26286	ARFGAP3	0,1945	0,0016
26287	ANKRD2	-0,0985	0,055
26289	AK5	-0,4659	0,0000051
26290	GALNT8	0,0422	0,37
26291	FGF21	-0,0321	0,47
26292	MYCBP	0,1156	0,0037
26297	SERGEF	-0,061	0,041
26298	EHF	0,0691	0,001
26301	GBGT1	0,0326	0,33
26330	GAPDHS	-0,0017	0,96
26333	OR7A17	0,0096	0,18
26353	HSPB8	0,84	0,00000001
26354	GNL3	-0,0677	0,084
26355	C3orf28	-0,2935	0,00000005
26468	LHX6	0,0304	0,071
26469	PTPN18	0,0297	0,045
26470	SEZ6L2	-0,3959	0,00000031
26471	NUPR1	0,6435	0,000003
26472	PPP1R14B	0,172	0,00000076
26476	OR10J1	0,0022	0,95
26499	PLEK2	0,012	0,69
26502	NARF	-0,164	0,0018
26503	SLC17A5	-0,0562	0,036
26504	CNNM4	-0,0334	0,21
26505	CNNM3	0,2127	0,0000078
26507	CNNM1	-0,5434	0,0000063
26508	HEYL	0,0672	0,00095
26509	FER1L3	0,2325	0,00000045
26511	CHIC2	0,3502	0,00000027
26512	INTS6	0,0578	0,00096
26513	RPL34P2	0,0168	0,41
26515	FXC1	0,1052	0,00015
26516	RPS5P1	-0,5701	0,00000021
26517	TIMM13	-0,0051	0,93
26519	TIMM10	-0,1548	0,0057
26520	TIMM9	-0,1928	0,0000019
26521	TIMM8B	-0,0545	0,091
26523	EIF2C1	0,1314	0,000022
26524	LATS2	0,4754	0,00000000042
26525	IL1F5	-0,005	0,89
26526	TSPAN16	0,0133	0,059
26528	DAZAP1	0,1741	0,00000069
26529	OR12D2	0,0069	0,87
26531	OR11A1	-0,0145	0,55
26532	OR10H3	-0,0102	0,85
26537	OR51A1P	0,0838	0,03
26538	OR10H2	0,0146	0,53
26539	OR10H1	0,0446	0,039
26548	ITGB1BP2	0,0136	0,72
26574	AATF	0,1185	0,0027
26575	RGS17	-0,6167	0,00000000028
26576	SRPK3	0,0875	0,047
26577	PCOLCE2	-0,0071	0,74
26578	OSTF1	-0,0838	0,13
26579	MYEOV	0,0775	0,0022
26580	BSCL2	-0,1722	0,0000082
26582	DUX3	0,0303	0,34
26584	DUX1	-0,0337	0,53
26585	GREM1	0,0125	0,58
26586	CKAP2	-0,0289	0,0045
26589	MRPL46	0,0316	0,52
26608	TBL2	0,0169	0,39
26610	ELP4	0,1608	0,00078
26628	OR7E47P	0,0583	0,14
26648	OR7E24	-0,0047	0,35
26651	OR7E19P	-0,0306	0,35
26658	OR7C2	-0,0013	0,98
26659	OR7A5	0,0632	0,012
26664	OR7C1	-0,0044	0,75
26692	OR2W1	-0,0136	0,7
26707	OR2J2	-0,0419	0,2
26716	OR2H1	-0,018	0,6
26747	NUFIP1	-0,0093	0,6
26748	GAGE7B	-0,0588	0,58
26750	RPS6KC1	-0,1185	0,047
26751	SH3YL1	0,0127	0,81
26762	HAVCR1	-0,0809	0,075
26776	SNORA71B	0,0824	0,086
26781	SNORA67	0,1476	0,018
26784	SNORA64	-0,06	0,17
26872	STEAP1	0,0025	0,93
26873	OPLAH	0,0896	0,029
26952	SMR3A	-0,0722	0,063
26953	RANBP6	-0,1878	0,012
26958	COPG2	-0,0978	0,13
26959	HBP1	0,1936	0,000000000095
26960	NBEA	-0,9103	0,0000000022
26973	CHORDC1	0,0989	0,14
26974	ZNF285A	0,0229	0,18
26978	PABPCP3	0,2424	0,00039
26983	ABCD1P2	-0,0304	0,39
26984	SEC22A	0,0053	0,83
26985	AP3M1	0,0956	0,0063
26986	PABPC1	0,1716	0,011
26993	AKAP8L	0,0071	0,024
26994	RNF11	-0,2035	0,0058
26995	TRUB2	0,0334	0,57
26996	GPR160	-0,1451	0,0019
26998	FETUB	0,0327	0,11
26999	CYFIP2	-0,5457	0,000000011
27000	ZRF1	-0,0215	0,54
27004	TCL6	-0,0207	0,056
27005	USP21	0,1294	0,000085
27006	FGF22	0,0483	0,04
27010	TPK1	0,0134	0,2
27012	KCNV1	-0,3918	0,0000000072
27013	C2orf24	0,1296	0,00000084
27018	NGFRAP1	-0,3319	0,00000016
27019	DNAI1	0,0965	0,021
27020	NPTN	-0,8256	0,000000002
27022	FOXD3	-0,0164	0,09
27023	FOXB1	-0,028	0,52
27030	MLH3	0,1144	0,00055
27031	NPHP3	0,1796	0,016
27032	ATP2C1	-0,1134	0,0000012
27033	ZBTB32	-0,0055	0,9
27034	ACAD8	-0,1053	0,04
27035	NOX1	-0,0243	0,22
27036	SIGLEC7	-0,0133	0,43
27037	HTF9C	0,0858	0,0005
27039	PKD2L2	-0,0227	0,11
27040	LAT	0,0501	0,046
27042	C1orf107	-0,08	0,000004
27043	PELP1	-0,0519	0,18
27044	SND1	0,0449	0,23
27063	ANKRD1	-0,0363	0,31
27065	D4S234E	-0,9082	0,000000003
27067	STAU2	-0,1926	0,0000001
27068	PPA2	-0,0275	0,53
27069	GHITM	-0,4926	0,00000073
27071	DAPP1	0,035	0,00069
27072	VPS41	-0,1178	0,00016
27074	LAMP3	0,0294	0,54
27075	TSPAN13	-1,0322	0,0000000037
27076	LYPD3	-0,0126	0,74
27077	B9D1	-0,1138	0,000052
27079	RPUSD2	-0,0185	0,52
27085	MTBP	-0,0096	0,061
27086	FOXP1	-0,313	0,00000000044
27087	B3GAT1	0,0266	0,66
27089	UQCRQ	-0,2496	0,00015
27090	ST6GALNAC4	0,0432	0,018
27091	CACNG5	0,0118	0,76
27092	CACNG4	-0,3249	0,000000021
27094	KCNMB3	0,0551	0,21
27095	TRAPPC3	-0,1096	0,0021
27097	TAF5L	0,0425	0,14
27098	CLUL1	-0,002	0,93
27099	C7orf54	0,1482	0,000027
27101	CACYBP	-0,158	0,0038
27102	EIF2AK1	-0,0335	0,13
27105	HSU79275	0,0686	0,076
27106	ARRDC2	0,4156	0,00000002
27107	ZBTB11	-0,1583	0,0000089
27109	ATP5S	0,0061	0,18
27111	SDCBP2	-0,1442	0,000012
27112	TMEM28	-0,1061	0,047
27113	BBC3	-0,0299	0,67
27115	PDE7B	-0,024	0,19
27120	DKKL1	-0,002	0,97
27121	DKK4	-0,0235	0,46
27122	DKK3	-0,4348	0,000000006
27123	DKK2	-0,0461	0,0039
27124	PIB5PA	-0,1113	0,00076
27125	AFF4	-0,0128	0,047
27128	PSCD4	0,0904	0,00056
27129	HSPB7	0,011	0,56
27130	INVS	0,0423	0,011
27131	SNX5	0,0815	0,00000011
27132	CPNE7	-0,0745	0,12
27133	KCNH5	-0,0248	0,26
27134	TJP3	-0,0345	0,28
27136	MORC1	-0,0303	0,24
27141	CIDEB	0,1154	0,000041
27143	KIAA1274	0,2478	0,000032
27145	FILIP1	-0,0798	0,045
27146	KIAA1276	-0,0138	0,12
27147	DENND2A	0,2103	0,0000003
27148	STK36	0,0821	0,044
27151	CPAMD8	0,2159	0,0025
27152	INTU	0,2792	0,059
27153	ZNF777	-0,0356	0,038
27154	BRPF3	-0,0002	1
27156	RTDR1	-0,0209	0,066
27158	NDOR1	0,0191	0,25
27159	CHIA	0,0362	0,3
27160	INGX	0,0181	0,6
27161	EIF2C2	0,1663	0,0024
27163	ASAHL	-0,0324	0,13
27165	GLS2	-0,4778	0,000000029
27166	PRELID1	-0,0922	0,0045
27173	SLC39A1	0,1755	0,0000023
27175	TUBG2	-0,1352	0,022
27177	IL1F8	-0,0235	0,2
27178	IL1F7	-0,0164	0,23
27179	IL1F6	-0,0609	0,35
27180	SIGLEC9	0,041	0,41
27181	SIGLEC8	0,0026	0,00047
27183	VPS4A	-0,0658	0,12
27185	DISC1	0,0283	0,044
27189	IL17C	-0,0903	0,0067
27190	IL17B	0,0979	0,00011
27198	GPR81	-0,0241	0,57
27202	GPR77	-0,0362	0,3
27229	TUBGCP4	-0,4518	0,00000000025
27230	SERP1	0,064	0,071
27232	GNMT	-0,0254	0,63
27233	SULT1C4	0,1738	0,00083
27235	COQ2	-0,0642	0,1
27236	ARFIP1	0,0913	0,002
27237	ARHGEF16	0,0135	0,72
27238	GPKOW	0,2229	0,00052
27239	GPR162	-0,1247	0,0075
27240	SIT1	-0,0147	0,75
27241	BBS9	0,0637	0,0066
27242	TNFRSF21	-0,207	0,0037
27243	CHMP2A	-0,0689	0,34
27244	SESN1	-0,0615	0,32
27245	AHDC1	0,0153	0,19
27246	ZNF364	-0,0016	0,0065
27247	NFU1	-0,0451	0,61
27248	C2orf30	-0,139	0,00041
27249	C2orf25	-0,2159	0,015
27250	PDCD4	0,1238	0,0000025
27251	HR44	0,0261	0,42
27252	KLHL20	-0,0098	0,014
27253	PCDH17	-0,0928	0,087
27254	CSDC2	-0,0955	0,027
27255	CNTN6	0,0186	0,49
27257	LSM1	0,1064	0,0095
27258	LSM3	-0,1402	0,0086
27283	TINAG	-0,0146	0,0091
27284	SULT1B1	-0,0765	0,14
27285	TEKT2	0,1138	0,00096
27286	SRPX2	0,4977	0,00000022
27287	VENTX	-0,0191	0,65
27288	RBMXL2	0,0136	0,26
27289	RND1	-0,065	0,17
27290	SPINK4	0,0205	0,63
27291	C10orf28	0,0497	0,0055
27292	DIMT1L	-0,0546	0,00033
27293	SMPDL3B	-0,0335	0,28
27294	DHDH	-0,0489	0,083
27295	PDLIM3	0,0992	0,00064
27296	C20orf10	-0,0206	0,67
27297	RCP9	-0,0258	0,26
27299	ADAMDEC1	-0,0194	0,51
27300	ZNF544	0,1	0,00019
27301	APEX2	0,0332	0,36
27302	BMP10	-0,0259	0,54
27303	RBMS3	0,3291	0,0000000068
27304	MOCS3	-0,0453	0,17
27306	PGDS	-0,0052	0,88
27307	MAG	-0,0097	0,56
27308	RP5-886K2,1	0,2559	0,000016
27309	ZNF330	0,0266	0,38
27314	RAB30	0,0919	0,0024
27315	FRAG1	0,0453	0,053
27316	RBMX	0,0212	0,039
27318	TNRC21	0,0528	0,006
27319	BHLHB5	-0,0332	0,057
27320	TNRC18	0,012	0,51
27324	TOX3	0,0263	0,082
27325	TNRC8	-0,2826	0,0011
27327	TNRC6A	0,1755	0,00000014
27328	PCDH11X	-0,3685	0,0000011
27329	ANGPTL3	0,007	0,44
27330	RPS6KA6	-0,0118	0,68
27332	ZNF638	0,2416	0,00065
27333	GOLIM4	0,3592	0,0000004
27334	P2RY10	0,0027	0,92
27335	EIF3K	-0,0775	0,01
27336	HTATSF1	0,0131	0,14
27338	UBE2S	-0,1254	0,00036
27339	PRPF19	-0,0471	0,29
27340	UTP20	0,0321	0,46
27341	CTA-126B4,3	-0,076	0,00077
27342	RABGEF1	-0,0257	0,00045
27343	POLL	0,0091	0,78
27344	PCSK1N	-0,7329	0,00000007
27345	KCNMB4	0,348	0,00001
27346	TMEM97	-0,121	0,0046
27347	STK39	-0,0476	0,47
27348	TOR1B	0,0222	0,49
27350	APOBEC3C	0,1071	0,014
27351	D15Wsu75e	-0,0809	0,027
27352	SGSM3	-0,0167	0,015
27429	HTRA2	0,0156	0,39
27430	MAT2B	-0,0674	0,1
27433	TOR2A	-0,0204	0,061
27434	POLM	0,0519	0,28
27436	EML4	-0,042	0,032
27438	CECR7	-0,0284	0,39
27439	CECR6	-0,3908	0,000000027
27440	CECR5	0,1249	0,011
27443	CECR2	0,0074	0,27
27445	PCLO	-0,6149	0,000000012
28227	PPP2R3B	0,1489	0,000012
28231	SLCO4A1	0,3005	0,002
28232	SLCO3A1	0,249	0,00000067
28234	SLCO1B3	0,0188	0,23
28316	CDH20	0,0824	0,0044
28461	IGHV1-69	0	0,32
28511	NKIRAS2	0,0439	0,035
28512	NKIRAS1	-0,3538	0,0000025
28513	CDH19	0,564	0,00026
28514	DLL1	0,229	0,000000063
28566	TRBV21-1	-0,0519	0,23
28683	TRAV8-3	-0,0182	0,57
28755	TRAC	-0,5038	0,00000000059
28773	IGLV9-49	0,0397	0,24
28780	IGLV5-48	0,0397	0,24
28803	IGLV3-10	-0,0071	0,85
28804	IGLV3-9	-0,0071	0,85
28817	IGLV2-8	-0,0071	0,85
28822	IGLV1-47	0,0397	0,24
28823	IGLV1-44	0,0032	0,35
28831	IGLJ3	0,0082	0,081
28862	IGKV1OR2-108	-0,0886	0,049
28902	IGKV1D-13	-0,0046	0,91
28904	IGKV1D-8	-0,0464	0,22
28951	TRIB2	0,1828	0,0000000005
28952	CCDC22	-0,0477	0,2
28954	REM1	-0,0282	0,5
28955	DEXI	-0,1315	0,0077
28956	MAPBPIP	0,0152	0,68
28957	MRPS28	0,0463	0,65
28958	CCDC56	-0,0215	0,43
28959	TMEM176B	0,3009	0,000023
28960	DCPS	0,0323	0,33
28962	OSTM1	-0,0428	0,02
28964	GIT1	-0,1524	0,00044
28965	SLC27A6	0,3113	0,0015
28966	SNX24	0,0884	0,00000002
